Enrollment Number,Day,Shift,Course,Slot,LHC NO.,Seat-Number
2022HU29916,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,A17
2022HU29917,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,J5
2022HU29918,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,F5
2022HU29919,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,E29
2022HU29920,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,J45
2022HU29921,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,J21
2022HU29922,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,I33
2022HU29923,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,F1
2022HU29924,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,K33
2022HU29925,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,K9
2022HU29926,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,A5
2022HU29927,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,E37
2022HU29928,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,F37
2022HU29929,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,B13
2022HU29930,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,H9
2022HU29931,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,K25
2022HU29932,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,C29
2022HU29933,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,B13
2022HU29934,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,C33
2022HU29935,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,A9
2022HU29936,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,L33
2022HU29937,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,A37
2022HU29938,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,D17
2022HU29939,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,E21
2022HU29940,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,K5
2022HU29941,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,F33
2022HU29942,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,A13
2022HU29943,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,G25
2022HU29944,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,C29
2022HU29945,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,C21
2022HU29946,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,A5
2022HU29947,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,L45
2022HU29948,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,I9
2022HU29949,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,H21
2022HU29950,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,H9
2022HU29951,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,A29
2022HU29952,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,F13
2022HU29953,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,C17
2022HU29954,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,E25
2022HU29955,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,H45
2022HU29956,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,L17
2022HU29957,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,A17
2022HU29958,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,E17
2022HU29959,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,H5
2022HU29960,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,J37
2022HU29961,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,C13
2022HU29962,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,E9
2022HU29963,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,J21
2022HU29964,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,F21
2022HU29965,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,A1
2022HU29966,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,F29
2022HU29967,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,D9
2022HU29968,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,K1
2022HU29969,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,B17
2022HU29970,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,H1
2022HU29971,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,K29
2022HU29972,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,C5
2022HU29973,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,F25
2022HU29974,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,F17
2022HU29975,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,D17
2022HU29976,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,D21
2022HU29977,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,L41
2022HU29978,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,H33
2022HU29979,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,J1
2022HU29980,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,G17
2022HU29981,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,J49
2022HU29982,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,I41
2022HU29983,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,B21
2022HU29984,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,J13
2022HU29985,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,I13
2022HU29986,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,K13
2022HU29987,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,C9
2022HU29988,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,G5
2022HU29989,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,H29
2022HU29990,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,D25
2022HU29991,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,J29
2022HU29992,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,C5
2022HU29993,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,L53
2022HU29994,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,H13
2022HU29995,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,D13
2022HU29996,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,G33
2022HU29997,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,L1
2022HU29998,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,L37
2022HU29999,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,B5
2022HU30000,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,G29
2022HU30001,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,I17
2022HU30002,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,I25
2022HU30003,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,H1
2022HU30004,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,G37
2022HU30005,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,B37
2022HU30006,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,H33
2022HU30007,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,E17
2022HU30008,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,K53
2022HU30009,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,G21
2022HU30010,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,E5
2022HU30011,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,C37
2022HU30012,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,G13
2022HU30013,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,E1
2022HU30014,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,J41
2022HU30015,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,E29
2022HU30016,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,H5
2022HU30017,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,G41
2022HU30018,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,I21
2022HU30019,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,J5
2022HU30020,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,I29
2022HU30021,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,C9
2022HU30022,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,F1
2022HU30023,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,E13
2022HU30024,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,I45
2022HU30025,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,H25
2022HU30026,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,J29
2022HU30027,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,B25
2022HU30028,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,C13
2022HU30029,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,J1
2022HU30030,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,I37
2022HU30031,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,D25
2022HU30032,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,B1
2022HU30033,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,L9
2022HU30034,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,F9
2022HU30035,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,B1
2022HU30036,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,F13
2022HU30037,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,I37
2022HU30038,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,A21
2022HU30039,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,D29
2022HU30040,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,D29
2022HU30041,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,G1
2022HU30042,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,J17
2022HU30043,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,D9
2022HU30044,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,H49
2022HU30045,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,D1
2022HU30046,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,I13
2022HU30047,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,H41
2022HU30048,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,B17
2022HU30049,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,A9
2022HU30050,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,B33
2022HU30051,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,A1
2022HU30052,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,G13
2022HU30053,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,J25
2022HU30054,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,C17
2022HU30055,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,C25
2022HU30056,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,I5
2022HU30057,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,K37
2022HU30058,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,K41
2022HU30059,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,B9
2022HU30060,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,I5
2022HU30061,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,D37
2022HU30062,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,A13
2022HU30063,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,H17
2022HU30064,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,H37
2022HU30065,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,F17
2022HU30066,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,C1
2022HU30067,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,F29
2022HU30068,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,D13
2022CL30069,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,H39
2022CL30070,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,I3
2022CL30071,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,H43
2022CL30072,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,F7
2022CL30073,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,B35
2022CL30074,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,D11
2022CL30075,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,G31
2022CL30076,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,K23
2022CL30077,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,K35
2022CL30078,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,F23
2022CL30079,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,K27
2022CL30080,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,I51
2022CL30081,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,J35
2022CL30082,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,I19
2022CL30083,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,L7
2022CL30084,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,G19
2022CL30085,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,H31
2022CL30086,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,E35
2022CL30087,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,K7
2022CL30088,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,D15
2022CL30089,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,J23
2022CL30090,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,I23
2022CL30091,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,B3
2022CL30092,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,G23
2022CL30093,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,G7
2022CL30094,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,A7
2022CL30095,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,C11
2022CL30096,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,G3
2022CL30097,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,C27
2022CL30098,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,B23
2022CL30099,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,D23
2022CL30100,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,B11
2022CL30101,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,H19
2022CL30102,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,K11
2022CL30103,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,E11
2022CL30104,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,F35
2022CL30105,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,I47
2022CL30106,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,L3
2022CL30107,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,E39
2022CL30108,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,I35
2022CL30109,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,J27
2022CL30110,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,K47
2022CL30111,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,H11
2022CL30112,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,I43
2022CL30113,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,J15
2022CL30114,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,G11
2022CL30115,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,C19
2022CL30116,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,K51
2022CL30117,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,D7
2022CL30118,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,E7
2022CL30119,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,A3
2022CL30120,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,G15
2022CL30121,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,E3
2022CL30122,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,J11
2022CL30123,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,K19
2022CL30124,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,A19
2022CL30125,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,G27
2022CL30126,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,H47
2022CL30127,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,D3
2022CL30128,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,J31
2022CL30129,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,B7
2022CL30130,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,J51
2022CL30131,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,I27
2022CL30132,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,A35
2022CL30133,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,A11
2022CL30134,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,C31
2022CL30135,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,D35
2022CL30136,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,H35
2022CL30137,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,B27
2022CL30138,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,E15
2022CL30139,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,B31
2022CL30140,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,E19
2022CL30141,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,J47
2022CL30142,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,C35
2022CL30143,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,D19
2022CL30144,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,K15
2022CL30145,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,H23
2022CL30146,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,J3
2022CL30147,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,B39
2022CL30148,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,F39
2022CL30149,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,F11
2022CL30150,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,E27
2022CL30151,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,H7
2022CL30152,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,F19
2022CL30153,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,G47
2022CL30154,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,D39
2022CL30155,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,K39
2022CL30156,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,C7
2022CL30157,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,I11
2022CL30158,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,A15
2022CL30159,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,J7
2022CL30160,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,A27
2022CL30161,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,C23
2022CL30162,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,C3
2022CL30163,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,C15
2022CL30164,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,G43
2022CL30165,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,A39
2022CL30166,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,F15
2022CL30167,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,K31
2022CL30168,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,G39
2022CL30169,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,I7
2022CL30170,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,F31
2022CL30171,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,D27
2022CL30172,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,A23
2022CL30173,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,G35
2022CL30174,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,I39
2022CL30175,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,H15
2022CL30176,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,J39
2022CL30177,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,H3
2022CL30178,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,C39
2022CL30179,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,K43
2022CL30180,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,A31
2022CL30181,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,D31
2022CL30182,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,B19
2022CL30183,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,E23
2022CL30184,Day 1,8:00AM-10:00AM,CLL141,D1S1,lh325,B15
